pickup_company_name,pickup_address_line_1,pickup_city,pickup_postcode,pickup_email,pickup_lat,pickup_lng,pickup_time_from,pickup_time_to,,dropoff_company_name,dropoff_address_line_1,dropoff_city,dropoff_postcode,dropoff_email,dropoff_lat,dropoff_lng,dropoff_time_from,dropoff_time_to
Hilfiger Stores Ltd,100 Liverpool St,London,EC2M 2AU,billy@deliveryapp.com,51.5181999,-0.083709061,08:30:00,11:00:00,,Fast Couriers,gate 4 - MOL,London,EC1A2FD,billy@deliveryapp.com,51.5171675,-0.1043089,12:30:00,20:30:00
Hilfiger Stores Ltd,101 Liverpool St,London,EC2M 2AU,billy@deliveryapp.com,51.5181999,-0.083709061,08:30:00,11:00:00,,Fast Couriers,57 Farringdon Road,London,EC1M3JB,billy@deliveryapp.com,51.5205936,-0.1061162,10:00:00,20:30:00
Hilfiger Stores Ltd,102 Liverpool St,London,EC2M 2AU,billy@deliveryapp.com,51.5181999,-0.083709061,08:30:00,11:00:00,,Fast Couriers,63 Clerkenwell Road,London,EC1M5NP,billy@deliveryapp.com,51.5220558,-0.1057491,10:00:00,20:30:00
Hilfiger Stores Ltd,103 Liverpool St,London,EC2M 2AU,billy@deliveryapp.com,51.5181999,-0.083709061,08:30:00,11:00:00,,Fast Couriers,Markmonitor,London,EC1N8JS,billy@deliveryapp.com,51.5199524,-0.1085864,08:30:00,20:30:00
Hilfiger Stores Ltd,104 Liverpool St,London,EC2M 2AU,billy@deliveryapp.com,51.5181999,-0.083709061,08:30:00,11:00:00,,Fast Couriers,Linked In - FAO Thessa Ramaye,London,EC1R3DA,billy@deliveryapp.com,51.5232236,-0.108454,10:00:00,20:30:00
Hilfiger Stores Ltd,105 Liverpool St,London,EC2M 2AU,billy@deliveryapp.com,51.5181999,-0.083709061,08:30:00,11:00:00,,Fast Couriers,140 Goswell Road,London,EC1V7DY,billy@deliveryapp.com,51.5249305,-0.0992686,10:00:00,20:30:00
Hilfiger Stores Ltd,106 Liverpool St,London,EC2M 2AU,billy@deliveryapp.com,51.5181999,-0.083709061,08:30:00,11:00:00,,Fast Couriers,CBRE Facilities Office,London,EC1V9BW,billy@deliveryapp.com,51.5250318,-0.091296,10:00:00,20:30:00
Hilfiger Stores Ltd,107 Liverpool St,London,EC2M 2AU,billy@deliveryapp.com,51.5181999,-0.083709061,08:30:00,11:00:00,,Fast Couriers,C - Screens,London,EC1V9HX,billy@deliveryapp.com,51.524282,-0.0961398,10:00:00,20:30:00
Hilfiger Stores Ltd,123 Liverpool St,London,EC2M 2AU,billy@deliveryapp.com,51.5181999,-0.083709061,08:30:00,11:00:00,,Fast Couriers,61 Marksfield Road,London,N154QA,billy@deliveryapp.com,51.5824345,-0.0638639,10:00:00,20:30:00
Hilfiger Stores Ltd,124 Liverpool St,London,EC2M 2AU,billy@deliveryapp.com,51.5181999,-0.083709061,08:30:00,11:00:00,,Fast Couriers,NEW LIDL STORE,London,N15LG,billy@deliveryapp.com,51.53286,-0.0803228,12:30:00,20:30:00
Hilfiger Stores Ltd,125 Liverpool St,London,EC2M 2AU,billy@deliveryapp.com,51.5181999,-0.083709061,08:30:00,11:00:00,,Fast Couriers,"30, Flat 1",London,N165JN,billy@deliveryapp.com,51.5723794,-0.0803811,10:00:00,20:30:00
Hilfiger Stores Ltd,126 Liverpool St,London,EC2M 2AU,billy@deliveryapp.com,51.5181999,-0.083709061,08:30:00,11:00:00,,Fast Couriers,"Unit 10, Hotspur Industrial Estate",London,N170XJ,billy@deliveryapp.com,51.6065527,-0.0557492,08:30:00,20:30:00
Hilfiger Stores Ltd,127 Liverpool St,London,EC2M 2AU,billy@deliveryapp.com,51.5181999,-0.083709061,08:30:00,11:00:00,,Fast Couriers,26 Warltersville Road,London,N193XH,billy@deliveryapp.com,51.5728415,-0.1223528,10:00:00,20:30:00
Hilfiger Stores Ltd,128 Liverpool St,London,EC2M 2AU,billy@deliveryapp.com,51.5181999,-0.083709061,08:30:00,11:00:00,,Fast Couriers,"Canopy Market, West Handyside Canopy",London,N1C4BH,billy@deliveryapp.com,51.535984,-0.123891,10:00:00,20:30:00
Hilfiger Stores Ltd,129 Liverpool St,London,EC2M 2AU,billy@deliveryapp.com,51.5181999,-0.083709061,08:30:00,11:00:00,,Fast Couriers,Bank Chambers,London,N31DE,billy@deliveryapp.com,51.6011628,-0.1941897,10:00:00,20:30:00
Hilfiger Stores Ltd,130 Liverpool St,London,EC2M 2AU,billy@deliveryapp.com,51.5181999,-0.083709061,08:30:00,11:00:00,,Fast Couriers,Woodberry Down,London,N42RY,billy@deliveryapp.com,51.5727527,-0.0879671,10:00:00,20:30:00
Hilfiger Stores Ltd,131 Liverpool St,London,EC2M 2AU,billy@deliveryapp.com,51.5181999,-0.083709061,08:30:00,11:00:00,,Fast Couriers,Arsenal Football Club,London,N51BU,billy@deliveryapp.com,51.5566692,-0.1063449,09:30:00,20:30:00
Hilfiger Stores Ltd,132 Liverpool St,London,EC2M 2AU,billy@deliveryapp.com,51.5181999,-0.083709061,08:30:00,11:00:00,,Fast Couriers,"22, Screenworks, Unit 113",London,N52EF,billy@deliveryapp.com,51.5505333,-0.0972817,09:30:00,20:30:00
Hilfiger Stores Ltd,133 Liverpool St,London,EC2M 2AU,billy@deliveryapp.com,51.5181999,-0.083709061,08:30:00,11:00:00,,Fast Couriers,17 Denewood Road,London,N64AQ,billy@deliveryapp.com,51.5756127,-0.1575129,10:00:00,20:30:00
Hilfiger Stores Ltd,134 Liverpool St,London,EC2M 2AU,billy@deliveryapp.com,51.5181999,-0.083709061,08:30:00,11:00:00,,Fast Couriers,32 Market Road,London,N79AW,billy@deliveryapp.com,51.547105,-0.12073,10:00:00,20:30:00
Hilfiger Stores Ltd,135 Liverpool St,London,EC2M 2AU,billy@deliveryapp.com,51.5181999,-0.083709061,08:30:00,11:00:00,,Fast Couriers,12a Broadway Parade,London,N89DE,billy@deliveryapp.com,51.580391,-0.1226804,09:30:00,20:30:00
